province,urban,rural,overall
Aceh,13.93,14.78,14.12
North Sumatra,14.16,8.98,13.83
West Sumatra,13.56,14.24,13.64
Riau,11.97,13.45,12.06
Jambi,12.72,13.41,12.82
South Sumatra,12.71,12.37,12.61
Bengkulu,12.38,15,12.6
Lampung,13.8,,13.8
Bangka Belitung Islands,11.98,,11.98
Riau Islands,10.66,,10.66
DKI Jakarta,10.64,,10.64
West Java,12.81,13.99,12.84
Central Java,12.57,12..03,12.54
DI Yogyakarta,9.19,,9.19
East Java,12.13,10.03,11.85
Banten,13.64,14.59,13.69
Bali,10.59,6.85,10.15
West Nusa Tenggara,10,,10
East Nusa Tenggara,15,20,19.91
West Kalimantan,12.02,13.13,12.23
Central Kalimantan,11.74,15,12.9
South Kalimantan,12.34,11.69,12.29
East Kalimantan,13.82,15,13.88
North Kalimantan,10,,10
North Sulawesi,14.02,3,13.98
Central Sulawesi,13.92,,13.92
South Sulawesi,13.04,10.21,12.79
Southeast Sulawesi,11.95,13.75,12.34
Gorontalo,10,14.04,12.68
West Sulawesi,15.29,,15.29
Maluku,13.87,,13.87
North Maluku,,,
West Papua,10,,10
Papua,14.52,,14.52
Indonesia,12.68,12.54,12.67