city,house_type,date,growth,house_price_index_growth
Bandung,Total,2012-01-01,year-on-year,3.9986802822533862
Bandung,Total,2012-04-01,year-on-year,4.398439523893938
Bandung,Total,2012-07-01,year-on-year,5.358222338811491
Bandung,Total,2012-10-01,year-on-year,6.859211738166682
Bandung,Total,2013-01-01,year-on-year,6.359036020805564
Bandung,Total,2013-04-01,year-on-year,7.0246199449624624
Bandung,Total,2013-07-01,year-on-year,6.140713973503575
Bandung,Total,2013-10-01,year-on-year,5.071730543438968
Bandung,Total,2014-01-01,year-on-year,6.326906710460012
Bandung,Total,2014-04-01,year-on-year,6.1491200070000085
Bandung,Total,2014-07-01,year-on-year,10.87832767550001
Bandung,Total,2014-10-01,year-on-year,12.356851404874991
Bandung,Total,2015-01-01,year-on-year,10.602988358554999
Bandung,Total,2015-04-01,year-on-year,9.970971282220397
Bandung,Total,2015-07-01,year-on-year,5.290910948370797
Bandung,Total,2015-10-01,year-on-year,3.166413573742388
Bandung,Total,2016-01-01,year-on-year,5.4158299252015984
Bandung,Total,2016-04-01,year-on-year,6.429041925077206
Bandung,Total,2016-07-01,year-on-year,6.4818393464112
Bandung,Total,2016-10-01,year-on-year,6.789039241063599
Bandung,Total,2017-01-01,year-on-year,5.411450277042129
Bandung,Total,2017-04-01,year-on-year,3.797534657921653
Bandung,Total,2017-07-01,year-on-year,5.218008654628625
Bandung,Total,2017-10-01,year-on-year,5.79205790331474
Bandung,Total,2018-01-01,year-on-year,5.885614798384964
Bandung,Total,2018-04-01,year-on-year,6.328871632984012
Bandung,Total,2018-07-01,year-on-year,4.966214405052005
Bandung,Total,2018-10-01,year-on-year,4.127395998697492
Bandung,Total,2019-01-01,year-on-year,2.9620196837699897
Bandung,Total,2019-04-01,year-on-year,2.359065920857595
Bandung,Total,2019-07-01,year-on-year,1.4765727353343916
Bandung,Total,2019-10-01,year-on-year,1.072886717491195
Bandung,Total,2020-01-01,year-on-year,1.223412263635204
Bandung,Total,2020-04-01,year-on-year,1.607446775018806
Bandung,Total,2020-07-01,year-on-year,1.8918338711503946
Bandung,Total,2020-10-01,year-on-year,1.9223556386604779
Bandung,Total,2021-01-01,year-on-year,1.6394344571513786
Bandung,Total,2021-04-01,year-on-year,1.093529398399995
Bandar Lampung,Total,2012-01-01,year-on-year,1.8469935192808595
Bandar Lampung,Total,2012-04-01,year-on-year,1.8167373739931492
Bandar Lampung,Total,2012-07-01,year-on-year,2.029727020594163
Bandar Lampung,Total,2012-10-01,year-on-year,3.330697077039435
Bandar Lampung,Total,2013-01-01,year-on-year,8.773672498115115
Bandar Lampung,Total,2013-04-01,year-on-year,9.894015594842
Bandar Lampung,Total,2013-07-01,year-on-year,11.226217158013107
Bandar Lampung,Total,2013-10-01,year-on-year,9.073662080573296
Bandar Lampung,Total,2014-01-01,year-on-year,3.8673561376497467
Bandar Lampung,Total,2014-04-01,year-on-year,2.3644029579829917
Bandar Lampung,Total,2014-07-01,year-on-year,0.8019723859999939
Bandar Lampung,Total,2014-10-01,year-on-year,0.7617842179999945
Bandar Lampung,Total,2015-01-01,year-on-year,0.6714149048000051
Bandar Lampung,Total,2015-04-01,year-on-year,0.6010293769999953
Bandar Lampung,Total,2015-07-01,year-on-year,0.6010293769999953
Bandar Lampung,Total,2015-10-01,year-on-year,2.6975110940000047
Bandar Lampung,Total,2016-01-01,year-on-year,3.086749615999995
Bandar Lampung,Total,2016-04-01,year-on-year,3.4885870207999936
Bandar Lampung,Total,2016-07-01,year-on-year,3.581726749118719
Bandar Lampung,Total,2016-10-01,year-on-year,1.194025292506895
Bandar Lampung,Total,2017-01-01,year-on-year,1.0934747904276954
Bandar Lampung,Total,2017-04-01,year-on-year,0.29833495485980244
Bandar Lampung,Total,2017-07-01,year-on-year,3.3446626425686077
Bandar Lampung,Total,2017-10-01,year-on-year,5.1838298041740005
Bandar Lampung,Total,2018-01-01,year-on-year,4.618887809999994
Bandar Lampung,Total,2018-04-01,year-on-year,5.154318143999981
Bandar Lampung,Total,2018-07-01,year-on-year,2.1056280319999843
Bandar Lampung,Total,2018-10-01,year-on-year,0.8619052543999972
Bandar Lampung,Total,2019-01-01,year-on-year,1.0031119217561502
Bandar Lampung,Total,2019-04-01,year-on-year,0.8316809210902498
Bandar Lampung,Total,2019-07-01,year-on-year,0.8618881352667307
Bandar Lampung,Total,2019-10-01,year-on-year,0.28014693480475916
Bandar Lampung,Total,2020-01-01,year-on-year,0.6005947780156395
Bandar Lampung,Total,2020-04-01,year-on-year,1.6771287955421599
Bandar Lampung,Total,2020-07-01,year-on-year,1.5045710247999944
Bandar Lampung,Total,2020-10-01,year-on-year,-1.7949874452000025
Bandar Lampung,Total,2021-01-01,year-on-year,-1.2377820185999977
Bandar Lampung,Total,2021-04-01,year-on-year,-2.2640080000000062
Banjarmasin,Total,2012-01-01,year-on-year,0.9664779660033762
Banjarmasin,Total,2012-04-01,year-on-year,1.467814853510352
Banjarmasin,Total,2012-07-01,year-on-year,2.4376098044847083
Banjarmasin,Total,2012-10-01,year-on-year,3.643929163217674
Banjarmasin,Total,2013-01-01,year-on-year,4.161295563031331
Banjarmasin,Total,2013-04-01,year-on-year,3.7451047495631107
Banjarmasin,Total,2013-07-01,year-on-year,3.9632281108303857
Banjarmasin,Total,2013-10-01,year-on-year,5.091034332939981
Banjarmasin,Total,2014-01-01,year-on-year,6.154244559279998
Banjarmasin,Total,2014-04-01,year-on-year,7.699769061239992
Banjarmasin,Total,2014-07-01,year-on-year,7.986515315519993
Banjarmasin,Total,2014-10-01,year-on-year,5.500191645816321
Banjarmasin,Total,2015-01-01,year-on-year,8.349028321248309
Banjarmasin,Total,2015-04-01,year-on-year,6.55989555557408
Banjarmasin,Total,2015-07-01,year-on-year,6.8114137984275125
Banjarmasin,Total,2015-10-01,year-on-year,7.707375328192634
Banjarmasin,Total,2016-01-01,year-on-year,4.988688351747195
Banjarmasin,Total,2016-04-01,year-on-year,5.670705615675198
Banjarmasin,Total,2016-07-01,year-on-year,5.370033474500291
Banjarmasin,Total,2016-10-01,year-on-year,5.1926428457553575
Banjarmasin,Total,2017-01-01,year-on-year,4.067974079675185
Banjarmasin,Total,2017-04-01,year-on-year,3.468635136509546
Banjarmasin,Total,2017-07-01,year-on-year,2.0942116647562514
Banjarmasin,Total,2017-10-01,year-on-year,1.4561861380347096
Banjarmasin,Total,2018-01-01,year-on-year,0.9230532939621616
Banjarmasin,Total,2018-04-01,year-on-year,1.0036869128926984
Banjarmasin,Total,2018-07-01,year-on-year,1.8094602428719186
Banjarmasin,Total,2018-10-01,year-on-year,2.0533639208344834
Banjarmasin,Total,2019-01-01,year-on-year,3.1824303411686294
Banjarmasin,Total,2019-04-01,year-on-year,3.110354000245774
Banjarmasin,Total,2019-07-01,year-on-year,2.549306367676163
Banjarmasin,Total,2019-10-01,year-on-year,2.121430705786498
Banjarmasin,Total,2020-01-01,year-on-year,0.47041388443900267
Banjarmasin,Total,2020-04-01,year-on-year,0.48044687963417765
Banjarmasin,Total,2020-07-01,year-on-year,0.27055039256838054
Banjarmasin,Total,2020-10-01,year-on-year,0.4199433485600146
Banjarmasin,Total,2021-01-01,year-on-year,0.9029250400160116
Banjarmasin,Total,2021-04-01,year-on-year,1.2641967920000052
Denpasar,Total,2012-01-01,year-on-year,1.386637518577083
Denpasar,Total,2012-04-01,year-on-year,1.7234314629700265
Denpasar,Total,2012-07-01,year-on-year,5.677507989080888
Denpasar,Total,2012-10-01,year-on-year,10.936484552407745
Denpasar,Total,2013-01-01,year-on-year,13.199198635902288
Denpasar,Total,2013-04-01,year-on-year,13.088244577000996
Denpasar,Total,2013-07-01,year-on-year,15.390520652679163
Denpasar,Total,2013-10-01,year-on-year,10.976075534447617
Denpasar,Total,2014-01-01,year-on-year,9.329256879635928
Denpasar,Total,2014-04-01,year-on-year,7.994252551610992
Denpasar,Total,2014-07-01,year-on-year,3.570171548838985
Denpasar,Total,2014-10-01,year-on-year,3.785387618750491
Denpasar,Total,2015-01-01,year-on-year,3.1271510903984945
Denpasar,Total,2015-04-01,year-on-year,4.205063021393629
Denpasar,Total,2015-07-01,year-on-year,2.7247324504029447
Denpasar,Total,2015-10-01,year-on-year,1.781373102334638
Denpasar,Total,2016-01-01,year-on-year,1.8727296753795253
Denpasar,Total,2016-04-01,year-on-year,1.4775599461831934
Denpasar,Total,2016-07-01,year-on-year,0.7211678774132091
Denpasar,Total,2016-10-01,year-on-year,0.7813958031920087
Denpasar,Total,2017-01-01,year-on-year,1.1629913632279942
Denpasar,Total,2017-04-01,year-on-year,1.0417775942455965
Denpasar,Total,2017-07-01,year-on-year,0.5763804009607965
Denpasar,Total,2017-10-01,year-on-year,0.025414173664684014
Denpasar,Total,2018-01-01,year-on-year,-0.7490529998062101
Denpasar,Total,2018-04-01,year-on-year,-0.6696760552894032
Denpasar,Total,2018-07-01,year-on-year,-0.10013290421320153
Denpasar,Total,2018-10-01,year-on-year,0.23003190441583943
Denpasar,Total,2019-01-01,year-on-year,0.34032905837229066
Denpasar,Total,2019-04-01,year-on-year,0.2601449975924375
Denpasar,Total,2019-07-01,year-on-year,0.3102850981113292
Denpasar,Total,2019-10-01,year-on-year,0.16009002160188857
Denpasar,Total,2020-01-01,year-on-year,0.22014403780350467
Denpasar,Total,2020-04-01,year-on-year,0.28025809001053226
Denpasar,Total,2020-07-01,year-on-year,0.7815090051860318
Denpasar,Total,2020-10-01,year-on-year,0.892335417168133
Denpasar,Total,2021-01-01,year-on-year,0.7814979369335617
Denpasar,Total,2021-04-01,year-on-year,1.0230895969999931
Palembang,Total,2012-01-01,year-on-year,3.023519313680767
Palembang,Total,2012-04-01,year-on-year,3.982132958639739
Palembang,Total,2012-07-01,year-on-year,6.6411945179156495
Palembang,Total,2012-10-01,year-on-year,9.160511048759234
Palembang,Total,2013-01-01,year-on-year,8.485920700317727
Palembang,Total,2013-04-01,year-on-year,10.383864593763171
Palembang,Total,2013-07-01,year-on-year,9.282078325422072
Palembang,Total,2013-10-01,year-on-year,9.346254939883526
Palembang,Total,2014-01-01,year-on-year,8.882923351155192
Palembang,Total,2014-04-01,year-on-year,6.793060142544105
Palembang,Total,2014-07-01,year-on-year,5.87913173093666
Palembang,Total,2014-10-01,year-on-year,4.574155637999344
Palembang,Total,2015-01-01,year-on-year,6.9854152385588675
Palembang,Total,2015-04-01,year-on-year,5.743967800447947
Palembang,Total,2015-07-01,year-on-year,9.499929748315816
Palembang,Total,2015-10-01,year-on-year,9.196275392274146
Palembang,Total,2016-01-01,year-on-year,8.351266490031751
Palembang,Total,2016-04-01,year-on-year,8.017081905294798
Palembang,Total,2016-07-01,year-on-year,2.9148090894175915
Palembang,Total,2016-10-01,year-on-year,2.2606678855519924
Palembang,Total,2017-01-01,year-on-year,0.8351194835599873
Palembang,Total,2017-04-01,year-on-year,0.8552462539159977
Palembang,Total,2017-07-01,year-on-year,1.6666319840360044
Palembang,Total,2017-10-01,year-on-year,2.16454952198879
Palembang,Total,2018-01-01,year-on-year,1.0737169615958386
Palembang,Total,2018-04-01,year-on-year,1.315761384573122
Palembang,Total,2018-07-01,year-on-year,1.2450101545559589
Palembang,Total,2018-10-01,year-on-year,1.154379053363308
Palembang,Total,2019-01-01,year-on-year,1.6092553456988012
Palembang,Total,2019-04-01,year-on-year,1.3361665646582033
Palembang,Total,2019-07-01,year-on-year,1.3563994021474013
Palembang,Total,2019-10-01,year-on-year,1.2151361277193296
Palembang,Total,2020-01-01,year-on-year,0.6814709650881046
Palembang,Total,2020-04-01,year-on-year,0.73171623455863255
Palembang,Total,2020-07-01,year-on-year,0.8322569234842314
Palembang,Total,2020-10-01,year-on-year,0.35980990171136096
Palembang,Total,2021-01-01,year-on-year,0.8315481820774462
Palembang,Total,2021-04-01,year-on-year,0.5901318655999965
Semarang,Total,2012-01-01,year-on-year,1.159864978128633
Semarang,Total,2012-04-01,year-on-year,1.0824200447715926
Semarang,Total,2012-07-01,year-on-year,1.1954632165435797
Semarang,Total,2012-10-01,year-on-year,2.089778864216374
Semarang,Total,2013-01-01,year-on-year,3.9323011383119555
Semarang,Total,2013-04-01,year-on-year,5.088563698986426
Semarang,Total,2013-07-01,year-on-year,5.861498991520975
Semarang,Total,2013-10-01,year-on-year,5.735648190262976
Semarang,Total,2014-01-01,year-on-year,3.6319202099999837
Semarang,Total,2014-04-01,year-on-year,3.48897963039998
Semarang,Total,2014-07-01,year-on-year,3.4378840543999756
Semarang,Total,2014-10-01,year-on-year,3.735414171200002
Semarang,Total,2015-01-01,year-on-year,8.299772394732784
Semarang,Total,2015-04-01,year-on-year,11.035046835641605
Semarang,Total,2015-07-01,year-on-year,11.802924061337606
Semarang,Total,2015-10-01,year-on-year,10.918319776409602
Semarang,Total,2016-01-01,year-on-year,6.9554334472332835
Semarang,Total,2016-04-01,year-on-year,3.1988193971716594
Semarang,Total,2016-07-01,year-on-year,1.2952304993431474
Semarang,Total,2016-10-01,year-on-year,1.1639536579024723
Semarang,Total,2017-01-01,year-on-year,1.395082190149588
Semarang,Total,2017-04-01,year-on-year,1.6984483480936063
Semarang,Total,2017-07-01,year-on-year,2.196571495740196
Semarang,Total,2017-10-01,year-on-year,2.369993507661494
Semarang,Total,2018-01-01,year-on-year,2.0148944221542564
Semarang,Total,2018-04-01,year-on-year,1.9844634105935066
Semarang,Total,2018-07-01,year-on-year,1.8221485379614988
Semarang,Total,2018-10-01,year-on-year,1.883028746354909
Semarang,Total,2019-01-01,year-on-year,1.6803772719713006
Semarang,Total,2019-04-01,year-on-year,1.4275416411975606
Semarang,Total,2019-07-01,year-on-year,1.336593362352212
Semarang,Total,2019-10-01,year-on-year,1.104470899715615
Semarang,Total,2020-01-01,year-on-year,1.0339446120924745
Semarang,Total,2020-04-01,year-on-year,0.8929061013168038
Semarang,Total,2020-07-01,year-on-year,0.7520504286584018
Semarang,Total,2020-10-01,year-on-year,0.6917078151055911
Semarang,Total,2021-01-01,year-on-year,0.8021594291828027
Semarang,Total,2021-04-01,year-on-year,0.7013127391999996
Yogyakarta,Total,2012-01-01,year-on-year,1.4381243464995697
Yogyakarta,Total,2012-04-01,year-on-year,2.3857421622934583
Yogyakarta,Total,2012-07-01,year-on-year,2.8445070786886184
Yogyakarta,Total,2012-10-01,year-on-year,3.2596260348796813
Yogyakarta,Total,2013-01-01,year-on-year,4.020678140049538
Yogyakarta,Total,2013-04-01,year-on-year,2.8101316769270523
Yogyakarta,Total,2013-07-01,year-on-year,2.3791163404606186
Yogyakarta,Total,2013-10-01,year-on-year,2.866974732631977
Yogyakarta,Total,2014-01-01,year-on-year,2.4898739632762457
Yogyakarta,Total,2014-04-01,year-on-year,2.7970057402114445
Yogyakarta,Total,2014-07-01,year-on-year,2.7254698976643343
Yogyakarta,Total,2014-10-01,year-on-year,1.9743894933142547
Yogyakarta,Total,2015-01-01,year-on-year,2.0555147037305765
Yogyakarta,Total,2015-04-01,year-on-year,2.248628415449616
Yogyakarta,Total,2015-07-01,year-on-year,2.2384564468448165
Yogyakarta,Total,2015-10-01,year-on-year,2.391096722220798
Yogyakarta,Total,2016-01-01,year-on-year,2.024832862721593
Yogyakarta,Total,2016-04-01,year-on-year,1.5988842563364747
Yogyakarta,Total,2016-07-01,year-on-year,1.3866092021743937
Yogyakarta,Total,2016-10-01,year-on-year,1.1750092425991898
Yogyakarta,Total,2017-01-01,year-on-year,1.4272405181342096
Yogyakarta,Total,2017-04-01,year-on-year,1.5284855176532108
Yogyakarta,Total,2017-07-01,year-on-year,1.3564033388097085
Yogyakarta,Total,2017-10-01,year-on-year,1.2251780382017463
Yogyakarta,Total,2018-01-01,year-on-year,1.3963536103343888
Yogyakarta,Total,2018-04-01,year-on-year,1.4772441995727803
Yogyakarta,Total,2018-07-01,year-on-year,1.59885879363999
Yogyakarta,Total,2018-10-01,year-on-year,1.5887272760099824
Yogyakarta,Total,2019-01-01,year-on-year,0.8926376849429873
Yogyakarta,Total,2019-04-01,year-on-year,0.6010985764472565
Yogyakarta,Total,2019-07-01,year-on-year,0.6010985764472565
Yogyakarta,Total,2019-10-01,year-on-year,0.6111315971490283
Yogyakarta,Total,2020-01-01,year-on-year,0.8425140615760052
Yogyakarta,Total,2020-04-01,year-on-year,1.1851387720880124
Yogyakarta,Total,2020-07-01,year-on-year,1.6898028058639936
Yogyakarta,Total,2020-10-01,year-on-year,2.3185191774199865
Yogyakarta,Total,2021-01-01,year-on-year,2.6043250969099985
Yogyakarta,Total,2021-04-01,year-on-year,3.242595299999995
Padang,Total,2012-01-01,year-on-year,3.089364554423746
Padang,Total,2012-04-01,year-on-year,3.699073451497137
Padang,Total,2012-07-01,year-on-year,3.3390503719934017
Padang,Total,2012-10-01,year-on-year,10.438696604853748
Padang,Total,2013-01-01,year-on-year,8.309814692688056
Padang,Total,2013-04-01,year-on-year,9.03324943338426
Padang,Total,2013-07-01,year-on-year,11.222191667469804
Padang,Total,2013-10-01,year-on-year,4.607633167593184
Padang,Total,2014-01-01,year-on-year,4.6598325853414835
Padang,Total,2014-04-01,year-on-year,3.8974713675724804
Padang,Total,2014-07-01,year-on-year,2.298421960189989
Padang,Total,2014-10-01,year-on-year,1.8109964833100012
Padang,Total,2015-01-01,year-on-year,2.521896209377994
Padang,Total,2015-04-01,year-on-year,1.830623136275622
