category_second,category_fourth,date,import_total_category_fourth,import_change_yoy,contribution_change_category_second
Raw materials,Food and beverages,2018-01-01,675753.33,15.04692461294371,1.0403761028390501
Raw materials,Food and beverages,2018-02-01,559066.43,-22.275994787632843,-1.9568755452765547
Raw materials,Food and beverages,2018-03-01,662125.17,-14.439060752599584,-1.224956125378587
Raw materials,Food and beverages,2018-04-01,760444.86,-1.1520270002830733,-0.10235529682363927
Raw materials,Food and beverages,2018-05-01,818192.3300000001,8.878287890305446,0.6714063442876675
Raw materials,Food and beverages,2018-06-01,606074.82,-9.29123261918028,-0.8835460834378783
Raw materials,Food and beverages,2018-07-01,792336.1499999999,8.142353228839612,0.6170025811008664
Raw materials,Food and beverages,2018-08-01,703343.2,-2.2778668017010197,-0.17526673124067071
Raw materials,Food and beverages,2018-09-01,735650.3899999999,-3.7671960368509803,-0.31660813559208467
Raw materials,Food and beverages,2018-10-01,922160.79,8.850866531996845,0.7390731932947985
Raw materials,Food and beverages,2018-11-01,761751.56,8.654869308607564,0.5922662336959619
Raw materials,Food and beverages,2018-12-01,722708.29,3.379619368818526,0.2278710543291
Raw materials,Food and beverages,2019-01-01,628260.4,-7.028145906435998,-0.43460408177354676
Raw materials,Food and beverages,2019-02-01,749272.5800000001,34.02210180997633,1.9325886745686645
Raw materials,Food and beverages,2019-03-01,920128.4500000001,38.96593751299321,2.5530104481465417
Raw materials,Food and beverages,2019-04-01,806518.75,6.058807472247234,0.405171475645442
Raw materials,Food and beverages,2019-05-01,802821.01,-1.878692751861908,-0.1271704610231025
Raw materials,Food and beverages,2019-06-01,621013.11,2.464760043982695,0.20282863714384441
Raw materials,Food and beverages,2019-07-01,709230.5700000001,-10.488677059604038,-0.6508465265685158
Raw materials,Food and beverages,2019-08-01,695275.29,-1.1470801167907667,-0.07152460228240438
Raw materials,Food and beverages,2019-09-01,710740.8099999999,-3.38606222991331,-0.23831748767189648
Raw materials,Food and beverages,2019-10-01,773685.57,-16.100795176945233,-1.237253439795709
Raw materials,Food and beverages,2019-11-01,641570.69,-15.776911569436116,-1.0098189367085557
Raw materials,Food and beverages,2019-12-01,704077.03,-2.5779779003226886,-0.17538971477214294
Raw materials,Food and beverages,2020-01-01,555235.52,-11.623345988383162,-0.6733492833174266
Raw materials,Food and beverages,2020-02-01,883070.9299999999,17.857099481739986,1.5477673673766232
Raw materials,Food and beverages,2020-03-01,942050.76,2.3825271352059527,0.2209234490344357
Raw materials,Food and beverages,2020-04-01,951919.99,18.028252907945415,1.359680976677261
Raw materials,Food and beverages,2020-05-01,682494.8899999999,-14.987913682029836,-1.2333172979489977
Raw materials,Food and beverages,2020-06-01,877139.1799999999,41.24326296428749,3.2117408742800517
Raw materials,Food and beverages,2020-07-01,638229.61,-10.010984157098598,-0.6801880760894776
Raw materials,Food and beverages,2020-08-01,643433.39,-7.456312736211296,-0.5224119059936577
Raw materials,Food and beverages,2020-09-01,762199.37,7.240130195985237,0.5363129767906676
Raw materials,Food and beverages,2020-10-01,615977.73,-20.383970713063704,-1.535252457963504
Raw materials,Food and beverages,2020-11-01,587692.01,-8.397933515323142,-0.5179000773599025
Raw materials,Food and beverages,2020-12-01,630891.62,-10.394517486247212,-0.7355252639950058
Raw materials,Food and beverages,2021-01-01,770158.27,38.70839351200009,2.140688091836296
Raw materials,Food and beverages,2021-02-01,990292.5800000001,12.141906879439475,1.3173006332108481
Raw materials,Food and beverages,2021-03-01,1081061.5699999998,14.756191057050877,1.4413160769635929
Raw materials,Food and beverages,2021-04-01,1039854.8500000001,9.23763141059787,0.9664878416031641
Raw materials,Industrial supplies,2018-01-01,5796956.61,25.37687224627872,13.811795956745785
Raw materials,Industrial supplies,2018-02-01,5261515.640000001,26.66344283103248,13.526756067481006
Raw materials,Industrial supplies,2018-03-01,5426648.02,11.43741549641113,6.105841926405805
Raw materials,Industrial supplies,2018-04-01,6248298.4399999995,33.6621004400546,18.17365996880753
Raw materials,Industrial supplies,2018-05-01,6482779.16,14.888352107071597,8.454227971482839
Raw materials,Industrial supplies,2018-06-01,3618814.5300000003,2.3430855926703837,1.1791657858634108
Raw materials,Industrial supplies,2018-07-01,7045053.02,30.838871111104048,17.17391607561449
Raw materials,Industrial supplies,2018-08-01,5913089.02,17.632131595004207,9.475236888793075
Raw materials,Industrial supplies,2018-09-01,5214699.319999999,8.980798035221424,4.724433479786677
Raw materials,Industrial supplies,2018-10-01,6615332.32,21.998577636278576,11.757592308411082
Raw materials,Industrial supplies,2018-11-01,6398345.3100000005,15.4782192480479,8.37106841174721
Raw materials,Industrial supplies,2018-12-01,5853673.7299999995,12.501425445025358,6.273693333330224
Raw materials,Industrial supplies,2019-01-01,6511064.9799999995,12.318677161877172,6.534749749713362
Raw materials,Industrial supplies,2019-02-01,4790341.89,-8.955095494118893,-4.787358626437939
Raw materials,Industrial supplies,2019-03-01,5408331.430000001,-0.33753045954874594,-0.18124748508783955
Raw materials,Industrial supplies,2019-04-01,5832142.7,-6.660305105400813,-3.6596526855909177
Raw materials,Industrial supplies,2019-05-01,5354516.3100000005,-17.403999460009363,-9.334377710550484
Raw materials,Industrial supplies,2019-06-01,4202030.47,16.116215273403345,7.918770774350059
Raw materials,Industrial supplies,2019-07-01,5996791.66,-14.879396322839874,-8.209524138956608
Raw materials,Industrial supplies,2019-08-01,5408740.05,-8.529365417874256,-4.471214910774991
Raw materials,Industrial supplies,2019-09-01,5369198.3,2.962759126062142,1.4781384817195131
Raw materials,Industrial supplies,2019-10-01,5578710.050000001,-15.669995396391506,-8.638239224877626
Raw materials,Industrial supplies,2019-11-01,5480573.17,-14.343898235151684,-7.711574117873631
Raw materials,Industrial supplies,2019-12-01,5073001.33,-13.336452218015907,-7.349041855810294
Raw materials,Industrial supplies,2020-01-01,5427873.9,-16.636158344713667,-9.987910112468908
Raw materials,Industrial supplies,2020-02-01,4126898.14,-13.849611681891865,-7.674658068204691
Raw materials,Industrial supplies,2020-03-01,5156528.79,-4.6558285722515445,-2.5375568407150815
Raw materials,Industrial supplies,2020-04-01,5326990.409999999,-8.661521433623374,-4.723797121936211
Raw materials,Industrial supplies,2020-05-01,3242459.12,-39.44440669749309,-21.64813979445652
Raw materials,Industrial supplies,2020-06-01,4016878.44,-4.406251485368211,-2.321748593210078
Raw materials,Industrial supplies,2020-07-01,3778653.85,-36.98874224354828,-21.249725207732762
Raw materials,Industrial supplies,2020-08-01,3996354.95,-26.113014989507576,-14.232634067965146
Raw materials,Industrial supplies,2020-09-01,4208241.71,-21.622531430809698,-12.09975725530683
Raw materials,Industrial supplies,2020-10-01,3989187.3899999997,-28.492655932172006,-15.473666818045881
Raw materials,Industrial supplies,2020-11-01,4732518.83,-13.649199030764878,-7.190551078003605
Raw materials,Industrial supplies,2020-12-01,5306040.72,4.5937182910220065,2.342083741158037
Raw materials,Industrial supplies,2021-01-01,5113290.2,-5.795707597407525,-3.133337817777793
Raw materials,Industrial supplies,2021-02-01,5217257.23,26.420789973750118,13.395902037360948
Raw materials,Industrial supplies,2021-03-01,6648670.63,28.9369438389192,15.47108475306373
Raw materials,Industrial supplies,2021-04-01,6476209.859999999,21.57352203680803,12.631016024348865
Raw materials,Parts and accessories,2018-01-01,2567137.8899999997,36.82897812376195,8.133738847685708
Raw materials,Parts and accessories,2018-02-01,2258827.49,40.279259642800874,7.9211627072675626
Raw materials,Parts and accessories,2018-03-01,2302671.37,18.812758233081713,3.9970390701819416
Raw materials,Parts and accessories,2018-04-01,2542538.7,34.88003284052025,7.593543717763106
Raw materials,Parts and accessories,2018-05-01,2688443.38,16.731877313511383,3.877914165437633
Raw materials,Parts and accessories,2018-06-01,1790235.18,15.298736491854658,3.3808040538067448
Raw materials,Parts and accessories,2018-07-01,2775789.2,20.916336294460688,4.966043330231918
Raw materials,Parts and accessories,2018-08-01,2622147.94,17.458847476658423,4.166619423697063
Raw materials,Parts and accessories,2018-09-01,2380062.89,15.452332955924147,3.502154468940304
Raw materials,Parts and accessories,2018-10-01,2745759.48,24.47531247252922,5.321504193581342
Raw materials,Parts and accessories,2018-11-01,2567110.01,2.5823789415065335,0.6307888178068694
Raw materials,Parts and accessories,2018-12-01,2405095.56,2.219285035069048,0.5036233365932704
Raw materials,Parts and accessories,2019-01-01,2391752.3,-6.8319505034456824,-1.6049397941601369
Raw materials,Parts and accessories,2019-02-01,1929868.72,-14.563253345212306,-3.3423840044185655
Raw materials,Parts and accessories,2019-03-01,2259480.89,-1.8756684328775919,-0.42738118174491485
Raw materials,Parts and accessories,2019-04-01,2420006.9,-4.819269810917736,-1.0775384978236537
Raw materials,Parts and accessories,2019-05-01,2183929.2399999998,-18.766031814290997,-4.1739613628806005
Raw materials,Parts and accessories,2019-06-01,1828886.3,2.1589967861094155,0.5247959434234568
Raw materials,Parts and accessories,2019-07-01,2536455.14,-8.622198688574768,-1.8743595994461637
Raw materials,Parts and accessories,2019-08-01,2302208.16,-12.20143894703362,-2.8363684670280382
Raw materials,Parts and accessories,2019-09-01,2308712.66,-2.997829607771414,-0.6826292357563637
Raw materials,Parts and accessories,2019-10-01,2464136.37,-10.256656202093852,-2.3467832650691816
Raw materials,Parts and accessories,2019-11-01,2485400.5,-3.1829376100636915,-0.68656359791019
Raw materials,Parts and accessories,2019-12-01,2255295.85,-6.2284306907123455,-1.41017453515488
Raw materials,Parts and accessories,2020-01-01,2429999.83,1.599142603521287,0.3526735944538621
Raw materials,Parts and accessories,2020-02-01,1895732.06,-1.7688591791881012,-0.3948898351828017
Raw materials,Parts and accessories,2020-03-01,2172402.32,-3.853919295595383,-0.8775397310496321
Raw materials,Parts and accessories,2020-04-01,2050241.67,-15.279511393128672,-3.457761082833214
Raw materials,Parts and accessories,2020-05-01,1400151.5,-35.888421916087346,-8.03355617624312
Raw materials,Parts and accessories,2020-06-01,1727817.6300000001,-5.526241297777775,-1.2673695362136386
Raw materials,Parts and accessories,2020-07-01,1769814.79,-30.22487320631265,-7.344402452009989
Raw materials,Parts and accessories,2020-08-01,1860149.35,-19.201513472178817,-4.454635834978813
Raw materials,Parts and accessories,2020-09-01,1870671.08,-18.97341265499883,-4.565370343202125
Raw materials,Parts and accessories,2020-10-01,1896437.52,-23.038450992872608,-5.526428203224106
Raw materials,Parts and accessories,2020-11-01,2085600.24,-16.08594912570429,-3.8430151886146695
Raw materials,Parts and accessories,2020-12-01,2390658.26,6.001980183664138,1.360414218493139
Raw materials,Parts and accessories,2021-01-01,2199846.77,-9.471320004166422,-2.29238605425291
Raw materials,Parts and accessories,2021-02-01,2065658.5100000002,8.96363223397721,2.08767744372775
Raw materials,Parts and accessories,2021-03-01,2493805.44,14.794824929113503,3.3324277733671184
Raw materials,Parts and accessories,2021-04-01,2491078.58,21.50170472342415,4.845217398934938
Raw materials,Fuels and lubricants,2018-01-01,1888013.1800000002,34.093949912139976,5.650704529738237
Raw materials,Fuels and lubricants,2018-02-01,1762630.42,3.4034827951711795,0.7085451168219781
Raw materials,Fuels and lubricants,2018-03-01,1714400.49,11.307556383081723,1.90929674261861
Raw materials,Fuels and lubricants,2018-04-01,1820172.5,36.89106827562104,5.665084222130961
Raw materials,Fuels and lubricants,2018-05-01,2097763.14,69.199645240715,8.633819524127428
Raw materials,Fuels and lubricants,2018-06-01,1349856.18,6.338265733040119,1.1451101552175023
Raw materials,Fuels and lubricants,2018-07-01,2155665.99,71.62165830871318,9.304159247088581
Raw materials,Fuels and lubricants,2018-08-01,2041328.77,48.435765547743806,7.1209408084165675
Raw materials,Fuels and lubricants,2018-09-01,2121854.35,42.891185021573115,7.002186877037665
Raw materials,Fuels and lubricants,2018-10-01,1717135.9500000002,2.8237360095041173,0.46479590215073496
Raw materials,Fuels and lubricants,2018-11-01,2174022.7,44.87681384426778,6.573240221646569
Raw materials,Fuels and lubricants,2018-12-01,1641300.4,-22.328116856607487,-4.550609831786898
Raw materials,Fuels and lubricants,2019-01-01,1313944.63,-30.40596093720067,-5.253256327790724
Raw materials,Fuels and lubricants,2019-02-01,1175120.18,-33.33144789365431,-5.96939497496331
Raw materials,Fuels and lubricants,2019-03-01,1335093.7,-22.124748109468868,-3.7533406471535007
Raw materials,Fuels and lubricants,2019-04-01,1635107.7999999998,-10.167426438977635,-1.6274496811291834
Raw materials,Fuels and lubricants,2019-05-01,1415032.18,-32.54566480751493,-5.648390049647331
Raw materials,Fuels and lubricants,2019-06-01,1322750.52,-2.008040589924174,-0.36803436515721594
Raw materials,Fuels and lubricants,2019-07-01,1195953.19,-44.52047786865164,-7.516050575464924
Raw materials,Fuels and lubricants,2019-08-01,1517344.3599999999,-25.668790725954455,-4.645289365824695
Raw materials,Fuels and lubricants,2019-09-01,1206223.28,-43.1523996922786,-8.760119449494162
Raw materials,Fuels and lubricants,2019-10-01,1455904.9100000001,-15.21318332424407,-2.176854850401369
Raw materials,Fuels and lubricants,2019-11-01,1795752.02,-17.399573610707936,-3.17841679682983
Raw materials,Fuels and lubricants,2019-12-01,1917713.65,16.841112693325368,2.6020806470813578
Raw materials,Fuels and lubricants,2020-01-01,1626781.7000000002,23.808999470548493,2.88461435170621
Raw materials,Fuels and lubricants,2020-02-01,1233796.21,4.993193972722009,0.6787590764849635
Raw materials,Fuels and lubricants,2020-03-01,1373731.8900000001,2.8940433169597144,0.38937877437404667
Raw materials,Fuels and lubricants,2020-04-01,769240.7100000001,-52.95474035412221,-8.096925518681253
Raw materials,Fuels and lubricants,2020-05-01,913644.81,-35.43293057829963,-5.139114569589327
Raw materials,Fuels and lubricants,2020-06-01,760286.89,-42.522276233919,-7.053118141261185
Raw materials,Fuels and lubricants,2020-07-01,655633.24,-45.179021596990765,-5.176256592351177
Raw materials,Fuels and lubricants,2020-08-01,840316.51,-44.619261642096845,-6.822423744679263
Raw materials,Fuels and lubricants,2020-09-01,955855.5900000001,-20.7563304531811,-2.609389790855066
Raw materials,Fuels and lubricants,2020-10-01,968304.31,-33.491239479369575,-4.7466886849409615
Raw materials,Fuels and lubricants,2020-11-01,868275.87,-51.64834229171576,-8.915214141000952
Raw materials,Fuels and lubricants,2020-12-01,1266609.25,-33.95211792959809,-6.543705032168429
Raw materials,Fuels and lubricants,2021-01-01,1500795.08,-7.744531426681288,-1.2548604424831935
Raw materials,Fuels and lubricants,2021-02-01,1123439.1800000002,-8.944510374205137,-1.3558211937446225
Raw materials,Fuels and lubricants,2021-03-01,1675056.32,21.93473356726107,3.1242444047401148
Raw materials,Fuels and lubricants,2021-04-01,1809980.0299999998,135.29436319094444,11.438716102559818
Capital goods,Capital goods (except transport equipment),2018-01-01,2184048.92,26.219564602187734,23.66660604633292
Capital goods,Capital goods (except transport equipment),2018-02-01,1881686.47,35.16539465756031,28.737960572509476
Capital goods,Capital goods (except transport equipment),2018-03-01,2022201.17,18.5629525321809,15.548760663977166
Capital goods,Capital goods (except transport equipment),2018-04-01,2094682.4,38.923258172590614,31.38854865586886
Capital goods,Capital goods (except transport equipment),2018-05-01,2420471.56,55.51629427063788,45.7651025299675
Capital goods,Capital goods (except transport equipment),2018-06-01,1355346.02,15.55340627094964,12.664908177431759
Capital goods,Capital goods (except transport equipment),2018-07-01,2527546.95,31.515698728236906,26.128389776943745
Capital goods,Capital goods (except transport equipment),2018-08-01,2273630.09,18.359304482537997,15.897233669127015
Capital goods,Capital goods (except transport equipment),2018-09-01,2117887.49,15.68955077655248,13.821018961172621
Capital goods,Capital goods (except transport equipment),2018-10-01,2424910.71,25.88601110196646,22.675819018827717
Capital goods,Capital goods (except transport equipment),2018-11-01,2321084.93,-0.0723671738156442,-0.06307618058243562
Capital goods,Capital goods (except transport equipment),2018-12-01,2331869.03,4.038760326928841,3.364420345039972
Capital goods,Capital goods (except transport equipment),2019-01-01,2120633.18,-2.9035860607004973,-2.5582787164110576
Capital goods,Capital goods (except transport equipment),2019-02-01,1949400.64,3.598589407936803,3.0067751647353527
Capital goods,Capital goods (except transport equipment),2019-03-01,2025677.25,0.17189585544548344,0.14252542157719678
Capital goods,Capital goods (except transport equipment),2019-04-01,2092378.4,-0.10999280845630822,-0.0869922116597836
Capital goods,Capital goods (except transport equipment),2019-05-01,2095021.73,-13.445720056301761,-11.58390217251581
Capital goods,Capital goods (except transport equipment),2019-06-01,1533784.86,13.165556054829459,10.260536637374884
Capital goods,Capital goods (except transport equipment),2019-07-01,2564638.97,1.4675106232942583,1.248171178838491
Capital goods,Capital goods (except transport equipment),2019-08-01,2282502.31,0.3902226681034207,0.32981376032678933
Capital goods,Capital goods (except transport equipment),2019-09-01,2325076.8,9.782828926384544,8.449632257068545
Capital goods,Capital goods (except transport equipment),2019-10-01,2214550.61,-8.674962716462252,-7.414921726965894
Capital goods,Capital goods (except transport equipment),2019-11-01,2352217.08,1.3412757800292945,1.1616998292706477
Capital goods,Capital goods (except transport equipment),2019-12-01,2255691.77,-3.26678981623594,-2.786407184229136
Capital goods,Capital goods (except transport equipment),2020-01-01,2082636.21,-1.7917747566318944,-1.5783708957199474
Capital goods,Capital goods (except transport equipment),2020-02-01,1688938.1,-13.361160074308778,-11.5565496021852
Capital goods,Capital goods (except transport equipment),2020-03-01,1658998.97,-18.10151543144398,-16.030951230559875
Capital goods,Capital goods (except transport equipment),2020-04-01,1874755.19,-10.4007578170373,-9.016649406486005
Capital goods,Capital goods (except transport equipment),2020-05-01,1306286.2,-37.64808348789776,-33.10683144034337
Capital goods,Capital goods (except transport equipment),2020-06-01,1674397.33,9.167678836000505,7.9112821526910935
Capital goods,Capital goods (except transport equipment),2020-07-01,1776762.36,-30.720761059011746,-28.045865146792654
Capital goods,Capital goods (except transport equipment),2020-08-01,1718307.29,-24.718267207361556,-22.42303036123392
Capital goods,Capital goods (except transport equipment),2020-09-01,1917438.29,-17.532260009647846,-15.461087642791279
Capital goods,Capital goods (except transport equipment),2020-10-01,1717353.99,-22.45135504037995,-19.853202617073986
Capital goods,Capital goods (except transport equipment),2020-11-01,2258196.87,-3.9970889931638434,-3.6752801327676132
Capital goods,Capital goods (except transport equipment),2020-12-01,2296438.32,1.8063882017000847,1.6265132369569513
Capital goods,Capital goods (except transport equipment),2021-01-01,1814254.71,-12.886624111851008,-11.788008206828868
Capital goods,Capital goods (except transport equipment),2021-02-01,1971820.71,16.749140184592903,14.931369092411314
Capital goods,Capital goods (except transport equipment),2021-03-01,1996135.03,20.321655775349882,18.2581752836939
Capital goods,Capital goods (except transport equipment),2021-04-01,2036599.92,8.632846083759874,8.012565160836257
Capital goods,Passenger motor cars,2018-01-01,47932.53,76.23018204466223,1.0815630497923507
Capital goods,Passenger motor cars,2018-02-01,59107.11,-21.177961021789475,-0.9322554014927064
Capital goods,Passenger motor cars,2018-03-01,54620.38,-6.719815394641436,-0.1932395581589389
Capital goods,Passenger motor cars,2018-04-01,51598.08,-10.122874962680445,-0.31081864807702847
Capital goods,Passenger motor cars,2018-05-01,52722.53,-10.812485991110437,-0.3385381582797932
Capital goods,Passenger motor cars,2018-06-01,41132.22,26.241305841038454,0.5935744668396119
Capital goods,Passenger motor cars,2018-07-01,54103.65,-4.461387522616045,-0.1089887457426277
Capital goods,Passenger motor cars,2018-08-01,36742.42,-16.903673864104626,-0.3369108276836735
Capital goods,Passenger motor cars,2018-09-01,34363.69,-8.570489744551665,-0.1550029065841928
Capital goods,Passenger motor cars,2018-10-01,43670.89,-18.30652331658655,-0.4450308386763894
Capital goods,Passenger motor cars,2018-11-01,35368.06,-9.75341709349238,-0.14343515659288883
Capital goods,Passenger motor cars,2018-12-01,19130.3,-37.74285762636407,-0.4310429637990855
Capital goods,Passenger motor cars,2019-01-01,30126.22,-37.14869630290744,-0.7183311886105493
Capital goods,Passenger motor cars,2019-02-01,49552.91,-16.16421442361164,-0.4242440139030654
Capital goods,Passenger motor cars,2019-03-01,48166.63,-11.815644636672246,-0.2646151525580004
Capital goods,Passenger motor cars,2019-04-01,50246.17,-2.6200781114336102,-0.05104411495875797
Capital goods,Passenger motor cars,2019-05-01,34884.79,-33.83323979331037,-0.6349077986575443
Capital goods,Passenger motor cars,2019-06-01,59431.46,44.488821658544076,1.052237407820606
Capital goods,Passenger motor cars,2019-07-01,71810.21,32.727108060177095,0.5958375377877632
Capital goods,Passenger motor cars,2019-08-01,40122.32,9.198904154925021,0.12564358509239965
Capital goods,Passenger motor cars,2019-09-01,54230.17,57.81241770019457,0.8101984134336244
Capital goods,Passenger motor cars,2019-10-01,56583.6,29.568231835898008,0.4551563434938932
Capital goods,Passenger motor cars,2019-11-01,40514.28,14.550472940839848,0.1920318029878827
Capital goods,Passenger motor cars,2019-12-01,27712.96,44.86422063428174,0.31393601560093004
Capital goods,Passenger motor cars,2020-01-01,23051.09,-23.48495762163325,-0.29389657321189055
Capital goods,Passenger motor cars,2020-02-01,39887.88,-19.50446502536381,-0.4288309505144509
Capital goods,Passenger motor cars,2020-03-01,54701.54,13.567297525278402,0.28570228786416824
Capital goods,Passenger motor cars,2020-04-01,29726.3,-40.83867486815413,-0.8501872279922256
Capital goods,Passenger motor cars,2020-05-01,22144.55,-36.52090208942064,-0.5347660427944971
Capital goods,Passenger motor cars,2020-06-01,17350.45,-70.80595024924509,-2.3676046895429357
Capital goods,Passenger motor cars,2020-07-01,15968.07,-77.76351023064827,-1.9878000032877179
Capital goods,Passenger motor cars,2020-08-01,18079.19,-54.93981903339588,-0.8760690111136149
Capital goods,Passenger motor cars,2020-09-01,24799.46,-54.26999399043005,-1.1162605483460675
Capital goods,Passenger motor cars,2020-10-01,27534.29,-51.33874479531171,-1.1599472203093284
Capital goods,Passenger motor cars,2020-11-01,20294.12,-49.90872354142786,-0.7904125328946022
Capital goods,Passenger motor cars,2020-12-01,12175.26,-56.06654792559149,-0.6202310311392287
Capital goods,Passenger motor cars,2021-01-01,14775.31,-35.901903120416435,-0.36349361844206934
Capital goods,Passenger motor cars,2021-02-01,27859.92,-30.154422847240813,-0.6348708044964645
Capital goods,Passenger motor cars,2021-03-01,41073.97,-24.912589298217195,-0.7380241726465226
Capital goods,Passenger motor cars,2021-04-01,28279.35,-4.867575177536393,-0.07163520962018367
Capital goods,"Other transport equipment, industrial",2018-01-01,246862.61,54.81372724061278,4.559424262383794
Capital goods,"Other transport equipment, industrial",2018-02-01,311259.41,31.68179667684536,4.396076611125808
Capital goods,"Other transport equipment, industrial",2018-03-01,362097.74,33.08450308578983,4.420753669243416
Capital goods,"Other transport equipment, industrial",2018-04-01,502232.48,64.91943277426128,10.573688325115135
Capital goods,"Other transport equipment, industrial",2018-05-01,336306.76,23.410429112885474,3.378959563108174
Capital goods,"Other transport equipment, industrial",2018-06-01,342600.78,45.83335763174319,7.4751901146122215
Capital goods,"Other transport equipment, industrial",2018-07-01,390058.78,14.84800361239706,2.1753980924059824
Capital goods,"Other transport equipment, industrial",2018-08-01,379697.18,49.906231909308296,5.69797309027177
Capital goods,"Other transport equipment, industrial",2018-09-01,299800.03,42.82199269816681,4.3253799249618305
Capital goods,"Other transport equipment, industrial",2018-10-01,368401.82,68.03300144546893,6.783071318159632
Capital goods,"Other transport equipment, industrial",2018-11-01,323426.03,6.759508275044514,0.7684256487476304
Capital goods,"Other transport equipment, industrial",2018-12-01,382888.97,-8.511681356671556,-1.3239626992431497
Capital goods,"Other transport equipment, industrial",2019-01-01,256594.29,3.9421441748509514,0.39258943945025815
Capital goods,"Other transport equipment, industrial",2019-02-01,254855.32,-18.121248125478353,-2.5045631808157403
Capital goods,"Other transport equipment, industrial",2019-03-01,213470.67,-41.046119205273136,-6.093972465976928
Capital goods,"Other transport equipment, industrial",2019-04-01,270946.15,-46.051647237152,-8.732686359971595
Capital goods,"Other transport equipment, industrial",2019-05-01,252488.58,-24.923132678034783,-2.9833833294622427
Capital goods,"Other transport equipment, industrial",2019-06-01,184150.07,-46.249372228516236,-9.111185183523174
Capital goods,"Other transport equipment, industrial",2019-07-01,172794.2,-55.70047160584362,-7.311097830165344
Capital goods,"Other transport equipment, industrial",2019-08-01,193516.19,-49.034072362612754,-6.9210470900476935
Capital goods,"Other transport equipment, industrial",2019-09-01,257237.88,-14.196846477967338,-1.7357773698372319
Capital goods,"Other transport equipment, industrial",2019-10-01,233230.6,-36.69124653075818,-4.764610855568553
Capital goods,"Other transport equipment, industrial",2019-11-01,165446.7,-48.845583022492036,-5.895017231039034
Capital goods,"Other transport equipment, industrial",2019-12-01,221742.42,-42.087018072105856,-5.8944087071882185
Capital goods,"Other transport equipment, industrial",2020-01-01,171045.93,-33.33993129776972,-3.5536265549745623
Capital goods,"Other transport equipment, industrial",2020-02-01,165726.41,-34.9723560803047,-3.9545904351685333
Capital goods,"Other transport equipment, industrial",2020-03-01,132793.21,-37.79322939305902,-3.527169448557044
Capital goods,"Other transport equipment, industrial",2020-04-01,115405.11,-57.40662489575882,-6.444436813519185
Capital goods,"Other transport equipment, industrial",2020-05-01,91708.09,-63.67832160963478,-6.748691264517794
Capital goods,"Other transport equipment, industrial",2020-06-01,85063.42,-53.807554892593856,-5.574914128988341
Capital goods,"Other transport equipment, industrial",2020-07-01,178009.75,3.018359412526571,0.1856567514630928
Capital goods,"Other transport equipment, industrial",2020-08-01,70831.95,-63.39740359708404,-4.8758892596480345
Capital goods,"Other transport equipment, industrial",2020-09-01,196169.58,-23.740010608079967,-2.316224584611182
Capital goods,"Other transport equipment, industrial",2020-10-01,118217.77,-49.31292463338859,-4.592495052667666
Capital goods,"Other transport equipment, industrial",2020-11-01,146779.13,-11.283132271601673,-0.7297212923481958
Capital goods,"Other transport equipment, industrial",2020-12-01,242588.48,9.40102484675688,0.8321291625523872
Capital goods,"Other transport equipment, industrial",2021-01-01,162161.63,-5.194101958462261,-0.3902213875096815
Capital goods,"Other transport equipment, industrial",2021-02-01,169276.45,2.1421087924368893,0.18738146375566883
Capital goods,"Other transport equipment, industrial",2021-03-01,399579.19,200.9033293193229,14.448247351742959
Capital goods,"Other transport equipment, industrial",2021-04-01,151127.26,30.953698670708786,1.768522549731258
